male,white,black,hispanic,mompro2,poppro2,siblings,norest96,norcen96,south96,west96,height81,height85,esteem80,athlets,wage96,hgc96,daded79,momed79,age,clubnum
0,1,0,0,0,1,4,1,0,0,0,66,66,27,1,67.510094,16,16,13,34,1
0,1,0,0,0,1,4,1,0,0,0,63,63,23,1,3.8461537,16,16,14,33,2
1,1,0,0,0,1,4,,,,,67,68,27,1,,,16,16,32,2
0,1,0,0,1,1,1,1,0,0,0,70,70,28,0,25.274725,17,12,15,37,1
0,1,0,0,0,0,2,1,0,0,0,64,64,28,0,2.7149322,18,16,12,33,1
1,1,0,0,0,0,3,,,,,71,70,27,0,,,10,9,36,0
0,1,0,0,0,0,3,1,0,0,0,63,64,23,0,22.617125,12,10,10,35,1
0,1,0,0,0,0,3,1,0,0,0,64,64,21,0,,12,10,9,31,0
1,1,0,0,0,0,3,1,0,0,0,69,69,22,0,10.071942,12,12,12,34,0
1,1,0,0,0,0,3,0,0,1,0,66,68,23,1,6.2585034,12,12,12,32,0
0,1,0,0,0,0,0,1,0,0,0,61,61,20,0,,14,12,10,34,0
1,1,0,0,0,0,2,1,0,0,0,72,71,28,0,13.256956,12,12,12,33,1
0,1,0,0,0,0,2,1,0,0,0,65,65,21,0,26.201923,12,12,11,32,0
1,1,0,0,0,0,0,1,0,0,0,66,66,28,0,6.6207628,12,14,12,36,1
0,1,0,0,0,0,2,1,0,0,0,64,64,28,1,0,12,12,12,,0
0,1,0,0,0,0,2,1,0,0,0,64,64,28,1,23.076923,12,12,12,34,0
0,1,0,0,0,0,2,1,0,0,0,,62,,,8.4092503,12,13,12,33,
0,1,0,0,0,0,2,,,,,,,,,,,12,12,,
1,1,0,0,0,1,3,1,0,0,0,71,69,22,1,11.428572,9,12,12,32,1
1,1,0,0,0,0,4,,,,,67,68,,0,,,17,12,,0
0,1,0,0,0,1,2,,,,,63,63,25,1,,,16,12,34,0
0,1,0,0,0,1,2,1,0,0,0,61,61,27,0,8.6455336,16,16,12,37,3
0,1,0,0,0,1,2,1,0,0,0,61,60,25,1,22.596153,16,16,12,36,3
0,1,0,0,0,0,3,1,0,0,0,66,67,24,1,18.482906,14,8,8,36,2
0,1,0,0,0,0,3,1,0,0,0,67,68,21,0,16.02564,12,7,,35,0
1,1,0,0,1,1,2,0,1,0,0,70,71,22,1,25.174826,17,17,16,35,1
1,1,0,0,0,1,2,,,,,72,72,26,1,,,18,16,,3
