"","COWcode","year","country_name","v2x_polyarchy","v2x_libdem","v2x_partipdem","v2x_delibdem","v2x_egaldem","v2x_regime","v2x_regime_amb","v2x_ex_military","v2x_ex_confidence","v2x_ex_direlect","v2x_ex_hereditary","v2x_ex_party","v2x_neopat","v2xnp_client","v2x_frassoc_thick","v2x_jucon","v2xlg_legcon","v2x_cspart","v2lpname","v2exhoshog","v2exremhog","v2exdjdshg","v2exdfvthg","v2reginfo","v2regint","v2regendtype","v2regimpgroup","v2regsupgroupssize","v2lgoppart","v2dlencmps","v2juhcind","v2juncind","v2juhccomp","v2jucomp","v2jureview","v2stfisccap","v2svstterr","v2mecenefi","v2mecenefm","v2exl_legitideol","v2exl_legitideolcr_0","v2exl_legitideolcr_1","v2exl_legitideolcr_2","v2exl_legitideolcr_3","v2exl_legitideolcr_4","v2xpe_exlsocgr","v2x_gencl","v2x_rule","v2xcl_prpty","v2xcs_ccsi","v2x_clpol","v2x_clpriv","v2clfmove","v2xcl_dmove","v2cldmovem","v2cldmovew","v2cldiscm","v2cldiscw","v2clslavem","v2clslavef","v2clstown","v2clprptym","v2clprptyw","v2clacjstm","v2clacjstw","e_legparty","e_autoc","e_peaveduc","e_migdppc","e_migdppcln","e_cow_exports","e_cow_imports","e_total_fuel_income_pc","e_total_oil_income_pc","e_miurbani","e_mipopula","e_civil_war","e_miinteco","v2exrmhgnp_0","v2exrmhgnp_1","v2exrmhgnp_2","v2exrmhgnp_3","v2exrmhgnp_4","v2exrmhgnp_5","v2exrmhgnp_6","v2exrmhgnp_7","v2exrmhgnp_8","v2exctlhg_0","v2exctlhg_1","v2exctlhg_2","v2exctlhg_3","v2exctlhg_4","v2exctlhg_5","v2exctlhg_6","v2exctlhg_7","v2exctlhg_8","v2regsupgroups_0","v2regsupgroups_1","v2regsupgroups_2","v2regsupgroups_3","v2regsupgroups_4","v2regsupgroups_5","v2regsupgroups_6","v2regsupgroups_7","v2regsupgroups_8","v2regsupgroups_9","v2regsupgroups_10","v2regsupgroups_11","v2regsupgroups_12","v2regsupgroups_13","v2exl_legitlead","ccode.x","onsets","revonsets","sideaonsets","force_onsets","force_revonsets","force_sideaonsets","leader","age0","age","usedforce","irregulartransition","foundingleader","foreigninstall","radicalideology","democratizing","revolutionaryleader","chg_executivepower","chg_politicalideology","chg_propertyownership","chg_womenandethnicstatus","chg_religioningovernment","chg_revolutionarycommittee","totalcategorieschanged","muslim","durable","cinc","majorpower","peaceyears","dem","conflict.status","trade","rule.inverse","X1","dispnum","stabb","ccode.y","stday","stmon","styear","endday","endmon","endyear","sidea","revstate","revtype1","revtype2","fatality","fatalpre","hiact","hostlev","orig","version","outcome","settle","recip","numa","numb","legitideol","nationalist","socialist","conservative","autonomist","religious","totalcat","mideology","mnationalist","msocialist","mconservative","mautonomist","mreligious","initiator","revisionist","policyrevisionist","regimerevisionist","territorialrevisionist","otherrevisionist","nonterritorial","backdown","hostile","hostileorig","hostilepolicy","hostileregime","personofleader","coldwar","transformativeideology","cinc2"
"1187",42,1959,"Dominican Republic",0.154,0.033,0.06,0.02,0.062,0,0,0,0,1,0,0.1,0.972,0.922,0.109,0.058,0.049,0.089,NA,0,-2.169,2.298,1.741,"Trujillo's rule (17/06/1930 - 30/05/1961)",1,3,5,-2.156,-1.898,-2.114,-2.99,-3.357,-0.563,-0.944,-1.081,0.446,99,NA,-2.541,1.21,0.75,0,0.25,0,0,0.753,0.489,0.063,0.583,0.055,0.056,0.262,-2.769,0.37,-0.497,-0.19,-2.393,-2.935,-1.823,1.2,-1.561,0.797,0.235,-1.429,-0.931,1,9,2.494,1933,7.567,128.6,128.2,0,0,0.399,3143.636,0,1,0.5,0.25,0,0,0.25,0.25,0,0,0,0.4,0.2,0,0,0.2,0.2,0,0,0.2,0.5,0,0,0,0,1,0,0,0,0,0,0,0,0,2.919,42,2,2,1,1,1,1,"Rafel Trujillo",39,68,1,1,0,0,0,0,0,0,0,0.5,1,0,0,1.5,0.00022000000171829,27,0.000522500020451844,0,9,0,1,256.8,0.937,973,1114,"DOM",42,23,6,1959,24,7,1959,0,1,3,-9,0,0,1,2,1,5,5,3,1,2,1,0.684126984126984,0.75,0,0.25,0,0,0.214285714285714,0.146598639455782,0.160714285714286,0,0.0535714285714286,0,0,0,1,0,1,0,0,1,0,1,1,0,1,2.919,1,0.146598639455782,0.0522500020451844
"1188",42,1961,"Dominican Republic",0.181,0.055,0.072,0.025,0.067,0,0,0.2,0,1,0,0.1,0.952,0.922,0.161,0.051,0.217,0.163,NA,0,-2.169,2.298,1.741,"Post-Trujillo Balaguer transition (31/05/1961 - 31/12/1961)",1,10,5,-2.156,-0.304,-2.114,-2.99,-3.357,-0.563,-0.944,-1.081,0.446,99,NA,-1.04,1.21,0.75,0,0.25,0,0,0.753,0.489,0.065,0.583,0.139,0.115,0.317,-2.769,0.361,-0.512,-0.19,-2.393,-2.935,-1.823,1.2,-1.561,0.797,0.235,-1.429,-0.931,1,-88,2.661,1980,7.591,141.8,76.34,0,0,0.426,3350.615,0,0,0.5,0.25,0,0,0.25,0.25,0,0,0,0.4,0.2,0,0,0.2,0.2,0,0,0.2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2.919,42,1,0,0,0,0,0,"Balaguer",54,54,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,0.00022000000171829,0,0.000522300018928945,0,1,0,0,218.14,0.935,1906,1801,"DOM",42,2,5,1961,25,11,1961,0,0,0,-9,0,0,0,1,1,5,4,3,0,1,1,0.684126984126984,0.75,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.919,1,0,0.0522300018928945
"1189",42,1963,"Dominican Republic",0.312,0.141,0.172,0.15,0.176,1,3,0.75,0,1,0,0,0.553,0.615,0.522,0.582,NA,0.663,NA,1,NA,NA,NA,"Military government under de los Santos (26/09/1963 - 28/04/1965)",1,7,9,1.241,NA,1.23,1.989,0.627,-0.563,-0.503,0.147,-0.295,99,NA,1.348,-1.066,0.5,0.25,0.25,0,0,0.757,0.761,0.479,0.585,0.608,0.443,0.717,1.615,0.644,0.536,0.809,0.582,0.445,-0.573,1.2,0.775,0.794,0.235,1.255,1.627,-1,-77,2.883,2074,7.637,174.68,175.06,0,0,0.446,3588.868,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1.565,42,1,0,0,0,0,0,"Cabral",40,40,1,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,0.00022000000171829,0,0.000527600001078099,0,1,0,0,349.74,0.521,832,1002,"DOM",42,26,4,1963,3,6,1963,0,0,0,-9,0,0,8,3,1,5,5,3,1,1,4,0.322857142857143,0.5,0.25,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1.565,1,0,0.0527600001078099
"1190",42,1986,"Dominican Republic",0.533,0.295,0.354,0.277,0.26,2,5,0,0,1,0,0,0.762,0.834,0.816,0.52,0.151,0.832,NA,1,NA,NA,NA,"Post-1979 constitutional alternation of presidents (17/08/1979 - E)",1,13,3,0.233,-1.379,-0.534,-0.83,0.655,0.983,0.017,0.081,0.463,98.75,NA,1.586,0.324,0.25,0.25,0.5,0,0,0.677,0.801,0.356,0.657,0.713,0.821,0.828,1.605,0.826,1.44,1.596,1.648,1.271,0.541,1.708,0.779,0.794,0.747,1.047,0.503,2,0,4.682,4911,8.499,729.388,1504.16,0,0,0.548,6528.542,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,0,0,1,0,0.5,0,0.5,0,0,0,0,0,0,1.545,42,1,0,1,0,0,0,"Balaguer",79,79,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,0.00022000000171829,8,0.000713500019628555,0,22,0,0,2233.548,0.644,2431,2354,"DOM",42,31,1,1986,1,2,1986,1,0,0,-9,0,0,7,3,1,5,5,3,0,1,1,0.543492063492063,0.25,0.25,0.5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1.545,1,0,0.0713500019628555
"1191",42,1987,"Dominican Republic",0.541,0.284,0.344,0.254,0.271,2,5,0,0,1,0,0,0.808,0.837,0.805,0.489,0.151,0.832,NA,1,NA,NA,NA,"Post-1979 constitutional alternation of presidents (17/08/1979 - E)",1,13,0,0.233,-1.379,-1.331,-1.279,0.655,0.983,0.017,0.081,0.463,98.75,NA,1.586,-0.334,0.25,0.25,0.5,0,0,0.677,0.801,0.284,0.657,0.713,0.811,0.828,1.605,0.826,1.44,1.596,1.648,1.271,0.541,1.708,0.779,0.794,0.747,1.047,0.503,2,0,4.774,5163,8.549,733.114,1721.5,0,0,0.549,6667.157,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,0,0,1,0,0.5,0,0.5,0,0,0,0,0,0,1.545,42,1,0,1,0,0,0,"Balaguer",79,80,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,0.00022000000171829,9,0.00071559997741133,0,0,0,0,2454.614,0.716,2693,2736,"DOM",42,29,11,1987,30,12,1987,1,0,0,-9,0,0,8,3,1,5,5,3,0,1,1,0.439047619047619,0.25,0.25,0.5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1.545,1,0,0.071559997741133
"1192",42,1994,"Dominican Republic",0.445,0.23,0.304,0.259,0.245,1,3,0,0,1,0,0,0.818,0.851,0.812,0.365,0.155,0.88,NA,1,NA,NA,NA,"Post-1979 constitutional alternation of presidents (17/08/1979 - E)",1,13,0,0.233,-0.455,-1.331,-1.279,-0.925,0.983,0.017,0.454,2.298,98.75,1.758,1.586,-0.334,0.25,0.25,0.5,0,0,0.61,0.804,0.236,0.792,0.763,0.794,0.857,1.605,0.826,1.44,1.596,0.839,0.701,0.541,1.708,0.779,1.222,1.557,1.047,0.503,2,0,5.41,6084,8.713,3364.281,5129.568,0,0,0.56,7613.8,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,0,0,1,0,0.5,0,0.5,0,0,0,0,0,0,1.545,42,1,1,1,1,1,1,"Balaguer",79,87,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,0.00022000000171829,16,0.000786999997217208,0,6,0,0,8493.849,0.764,4299,4016,"DOM",42,29,5,1994,29,9,1994,1,1,3,0,0,0,13,4,0,5,1,2,1,7,1,0.439047619047619,0.25,0.25,0.5,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,1,0,0,1,1.545,0,0,0.0786999997217208
"1193",420,1971,"The Gambia",0.575,0.4,0.27,0.322,0.325,2,5,0.375,0.333,0,0,0.125,0.346,0.336,0.822,0.808,0.277,0.483,NA,1,NA,NA,NA,"Republic of the Gambia - era of the PPP (25/04/1970 - 22/07/1994)",1,0,2,1.221,-0.07,-0.247,0.931,1.069,2.311,0.899,1.435,-1.325,99.375,NA,0.392,-1.305,0.714,0,0.429,0,0.286,0.485,0.716,0.76,0.523,0.629,0.725,0.829,1.859,0.815,1.382,1.525,0.013,0.011,1.267,1.493,-0.104,1.141,-0.551,1.041,1.057,2,0,0.638,2558,7.847,17.422,22.338,0,0,0.357,503.174,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,0,0,0,0,0,0,0,0.5,0.5,0,-0.792,420,1,0,0,1,0,0,"Jawara",41,47,0,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,0,0.866479992866516,6,0.0000264999998762505,0,6,1,0,39.76,0.24,2581,2616,"GAM",420,14,1,1971,24,3,1971,0,0,0,-9,0,0,15,4,1,5,6,1,1,1,1,0.284920634920635,0.714,0,0.429,0,0.286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,-0.792,1,0,0.00264999998762505
"1194",420,1974,"The Gambia",0.533,0.375,0.249,0.301,0.304,2,5,0.375,0.333,0,0,0.125,0.341,0.464,0.798,0.808,0.277,0.483,NA,1,NA,NA,NA,"Republic of the Gambia - era of the PPP (25/04/1970 - 22/07/1994)",1,0,2,1.221,-0.07,-0.247,0.931,1.069,2.311,0.899,1.435,-1.325,99.375,NA,0.392,-1.305,0.714,0,0.429,0,0.286,0.485,0.716,0.726,0.523,0.629,0.725,0.829,1.859,0.815,1.382,1.525,0.013,0.011,1.267,1.493,-0.104,1.141,-0.551,1.041,1.057,2,0,0.762,2586,7.858,39.27,44.602,0,0,0.357,558.957,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,0,0,0,0,0,0,0,0.5,0.5,0,-0.792,420,1,0,0,0,0,0,"Jawara",41,50,0,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,0,0.866479992866516,9,0.0000263999991148012,0,2,1,0,83.872,0.274,1373,1384,"GAM",420,10,7,1974,24,7,1974,0,0,0,-9,0,0,0,1,1,5,8,3,0,1,1,0.284920634920635,0.714,0,0.429,0,0.286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.792,1,0,0.00263999991148012
"1195",420,2002,"The Gambia",0.289,0.138,0.182,0.135,0.216,1,3,0.375,0,1,0,0.125,0.777,0.592,0.58,0.338,0.189,0.518,NA,1,NA,NA,NA,"Jammeh's Gambia (23/07/1994 - 21/01/2017)",1,7,5,0.904,-0.769,0.873,-0.918,-0.745,-0.001,-0.413,0.487,-0.788,99.375,-1.02,-0.876,-0.754,0.857,0,0.143,0,0.571,0.408,0.667,0.308,0.532,0.392,0.388,0.641,-0.063,0.799,1.108,1.651,-1.085,-1.141,1.23,1.523,0.583,1.218,-0.553,0.378,0.625,2,5,2.878,1661,7.415,31.274,405.614,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,1,0,0,0,0,0,0.5,0.5,0,0.321,420,NA,NA,NA,NA,NA,NA,"Jammeh",29,37,1,1,0,0,0,0,0,1,0,0,0,0,1,2,0.866479992866516,5,NA,0,27,0,NA,436.888,0.692,5049,4351,"GAM",420,7,7,2002,7,7,2002,0,0,0,0,0,0,0,1,1,5,5,3,0,1,1,0.372380952380952,0.857,0,0.143,0,0.571,0.285714285714286,0.106394557823129,0.244857142857143,0,0.0408571428571428,0,0.163142857142857,0,0,0,0,0,0,0,0,0,0,0,0,0.321,0,0.106394557823129,NA
"1196",432,1962,"Mali",0.255,0.206,0.103,0.201,0.234,1,3,0.3,0,0,0,0.2,0.476,0.369,0.159,0.637,0.398,0.555,NA,1,NA,NA,NA,"Republic of Mali under Keita (21/08/1960 - 19/11/1968)",1,0,2,-0.541,-0.592,0.828,0.249,0.335,0.232,0.437,1.48,1.91,72.05,NA,0.226,0.801,0.6,0.4,0,0,0,0.692,0.697,0.583,0.633,0.314,0.349,0.726,0.847,0.803,1.776,1.04,-0.347,-0.494,0.491,0.413,-0.557,0.639,0.804,0.428,0.902,1,7,0.238,1144,7.042,10.1,NA,0,0,0.203,4321.2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,1,0,0,0,0,1,0,0,0,0,2.305,432,1,1,0,1,1,0,"Keita",45,47,0,0,1,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,0.806866765022278,2,0.000331999995978549,0,2,0,0,NA,0.417,1411,1410,"MLI",432,23,7,1962,23,7,1962,0,1,1,-9,-9,-9,17,4,1,5,5,3,1,1,1,0.619206349206349,0.6,0.4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,2.305,1,0,0.0331999995978549
"1197",432,1974,"Mali",0.116,0.099,0.068,0.033,0.149,0,0,0.9,0,0,0,0.1,0.748,0.84,0.081,0.587,NA,0.49,NA,1,NA,NA,NA,"Republic of Mali under Traore's military rule (20/11/1968 - 25/03/1991)",1,8,5,-1.564,NA,-1.247,0.164,0.29,0.329,0.377,0.396,1.921,72.05,NA,-0.566,0.339,0.8,0.2,0.2,0,0,0.72,0.663,0.322,0.712,0.351,0.247,0.726,0.673,0.803,1.776,1.04,-0.963,-0.355,0.491,0.413,-0.045,1.27,0.804,0.202,0.52,-1,7,0.47,662,6.495,64.063,178.964,0,0,0.252,6030.8,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,1,1,1,0,0,0,0,0,0,0,0,2.261,432,1,1,1,1,1,1,"Traore",32,38,1,1,0,0,1,0,1,1,0,1,0,1,1,4,0.806866765022278,14,0.000412399997003376,0,11,0,0,243.027,0.678,1414,1411,"MLI",432,-9,11,1974,3,6,1975,1,1,1,-9,1,-9,17,4,1,5,5,3,1,1,1,0.545873015873016,0.8,0.2,0.2,0,0,0.571428571428571,0.311927437641723,0.457142857142857,0.114285714285714,0.114285714285714,0,0,1,1,0,0,1,0,0,0,1,1,0,0,2.261,1,0.311927437641723,0.0412399997003376
"1198",432,1985,"Mali",0.2,0.138,0.073,0.084,0.175,0,0,0.4,0,1,0,0.2,0.764,0.763,0.105,0.565,0.083,0.536,NA,1,NA,NA,NA,"Republic of Mali under Traore's military rule (20/11/1968 - 25/03/1991)",1,8,5,-1.564,-1.982,-1.247,0.164,0.29,0.329,0.377,0.396,-1.47,72.05,NA,-0.18,0.339,0.8,0.2,0.2,0,0,0.665,0.693,0.35,0.712,0.335,0.291,0.726,0.673,0.803,1.776,1.04,-0.831,-0.346,0.491,0.413,-0.045,1.27,0.804,0.202,0.529,1,7,0.835,742,6.609,123.613,299.352,0,0,0.284,7421.5,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,1,1,1,0,0,0,0,0,0,0,0,2.261,432,1,1,1,1,1,1,"Traore",32,49,1,1,0,0,1,0,1,1,0,1,0,1,1,4,0.806866765022278,25,0.000449199986178428,0,10,0,0,422.965,0.65,2522,2583,"MLI",432,12,12,1985,17,1,1986,1,1,1,-9,2,-9,17,4,1,5,6,1,1,1,1,0.545873015873016,0.8,0.2,0.2,0,0,0.571428571428571,0.311927437641723,0.457142857142857,0.114285714285714,0.114285714285714,0,0,1,1,0,0,1,0,0,0,1,1,0,0,2.261,1,0.311927437641723,0.0449199986178428
"1199",432,1986,"Mali",0.21,0.14,0.072,0.085,0.177,0,0,0.4,0,1,0,0.2,0.763,0.767,0.092,0.565,0.083,0.536,NA,0,-0.811,-0.132,-0.987,"Republic of Mali under Traore's military rule (20/11/1968 - 25/03/1991)",1,8,5,-1.564,-1.982,-1.247,0.164,0.29,0.329,0.377,0.396,-1.47,72.05,NA,-0.18,0.339,0.8,0.2,0.2,0,0,0.665,0.693,0.35,0.712,0.335,0.288,0.726,0.673,0.803,1.776,1.04,-0.831,-0.346,0.491,0.413,-0.045,1.27,0.804,0.202,0.529,1,7,0.86,722,6.582,211.721,443.957,0,0,0.286,7554.2,0,0,0,0,0.25,0,0.5,1,0,0,0,0,0,0.5,0,0.25,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,2.261,432,1,1,1,1,1,1,"Traore",32,50,1,1,0,0,1,0,1,1,0,1,0,1,1,4,0.806866765022278,26,0.000427099992521107,0,0,0,0,655.678,0.65,3927,3629,"MLI",432,23,6,1986,-9,7,1986,1,1,1,-9,-9,-9,17,4,1,5,5,3,1,1,1,0.545873015873016,0.8,0.2,0.2,0,0,0.571428571428571,0.311927437641723,0.457142857142857,0.114285714285714,0.114285714285714,0,0,1,1,0,0,1,0,0,0,1,1,0,0,2.261,1,0.311927437641723,0.0427099992521107
"1203",433,1961,"Senegal",0.364,0.279,0.14,0.272,0.26,1,3,0.167,0,0,0,0,0.479,0.793,0.605,0.57,0.609,0.354,NA,0,0.549,-1.711,-1.851,"Republic of Senegal under the Socialist Party (Senghor and Diouf presidencies) (21/08/1960 - 01/04/2000)",1,11,4,1.701,0.457,0.098,-0.703,0.459,0.889,-0.296,0.809,NA,96,NA,-0.798,0.283,0.5,0.667,0.333,0,0,0.288,0.728,0.584,0.724,0.366,0.602,0.768,1.197,0.859,1.861,1.566,0.641,0.241,0.764,1.029,-1.139,0.928,1.19,0.798,0.607,1,4,0.412,2369,7.77,124.5,158.6,0,0,0.321,3381.089,0,0,0,0.167,0.167,0,0.167,0.5,0,0,0.333,0,0,0,0,0,0.833,0.167,0,0.167,0,0,1,1,1,0,0,1,1,0,0,1,0,1,1.55,433,1,0,0,0,0,0,"Senghor",54,55,0,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,0,0.871594488620758,1,0.000380200013751164,0,1,0,0,283.1,0.416,1380,1387,"SEN",433,-9,12,1961,-9,12,1961,0,0,0,-9,0,0,0,1,1,5,5,3,0,1,1,0.536984126984127,0.5,0.667,0.333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.55,1,0,0.0380200013751164
"1204",433,1969,"Senegal",0.386,0.269,0.173,0.281,0.275,1,3,0.167,0,1,0,0,0.442,0.649,0.54,0.523,0.652,0.382,NA,1,NA,NA,NA,"Republic of Senegal under the Socialist Party (Senghor and Diouf presidencies) (21/08/1960 - 01/04/2000)",1,11,4,1.701,0.457,0.098,-0.703,0.459,0.889,-0.296,0.809,NA,96,NA,-0.798,0.283,0.333,0.667,0.333,0,0,0.288,0.804,0.625,0.739,0.501,0.621,0.79,1.197,0.859,1.861,1.551,0.641,0.241,0.764,1.161,-1.139,0.928,1.339,0.798,0.607,1,7,0.588,1948,7.575,126.914,207.583,0,0,0.373,4213.802,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,1,1,0,0,1,1,0,0,1,0,1,1.55,433,1,0,0,0,0,0,"Senghor",54,63,0,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,0,0.871594488620758,6,0.000435399997513741,0,5,0,0,334.497,0.375,1376,1385,"SEN",433,25,11,1969,-9,4,1971,0,0,0,-9,0,0,12,3,1,5,5,3,1,1,2,0.536984126984127,0.333,0.667,0.333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1.55,1,0,0.0435399997513741
"1205",433,1971,"Senegal",0.408,0.286,0.187,0.286,0.279,1,3,0.167,0,1,0,0,0.423,0.649,0.54,0.516,0.652,0.45,NA,0,0.56,-1.7,-1.941,"Republic of Senegal under the Socialist Party (Senghor and Diouf presidencies) (21/08/1960 - 01/04/2000)",1,11,4,1.701,0.457,0.098,-0.489,0.459,0.889,-0.296,0.809,NA,96,NA,-0.798,0.283,0.333,0.667,0.333,0,0,0.288,0.804,0.621,0.744,0.51,0.621,0.776,1.197,0.859,1.861,1.551,0.641,0.241,0.764,1.161,-0.604,0.99,1.339,0.798,0.607,1,7,0.675,1923,7.562,124.529,218.009,0,0,0.379,4464.802,0,0,0,0.143,0.143,0,0.143,0.571,0,0,0.286,0,0,0,0,0,0.857,0.143,0,0,0,0,1,1,1,0,0,1,1,0,0,1,0,1,1.55,433,1,1,1,1,1,1,"Senghor",54,65,0,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,0,0.871594488620758,8,0.000498700013849884,0,1,0,0,342.538,0.379,2580,2616,"SEN",433,14,1,1971,24,3,1971,1,1,2,-9,0,0,16,4,1,5,6,1,1,1,1,0.536984126984127,0.333,0.667,0.333,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,1,1,1,0,1.55,1,0,0.0498700013849884
"1206",433,1972,"Senegal",0.408,0.286,0.187,0.286,0.279,1,3,0.083,0,1,0,0,0.423,0.649,0.54,0.516,0.652,0.45,NA,0,0.56,-1.7,-1.941,"Republic of Senegal under the Socialist Party (Senghor and Diouf presidencies) (21/08/1960 - 01/04/2000)",1,11,4,1.701,0.457,0.098,-0.489,0.459,0.889,-0.296,0.809,NA,96,NA,-0.798,0.283,0.333,0.667,0.333,0,0,0.288,0.804,0.621,0.744,0.51,0.621,0.776,1.197,0.859,1.861,1.551,0.641,0.241,0.764,1.161,-0.604,0.99,1.339,0.798,0.607,1,7,0.74,1906,7.553,216.446,277.671,0,0,0.38,4611.713,0,0,0,0.143,0.143,0,0.143,0.571,0,0,0.286,0,0,0,0,0,0.857,0.143,0,0,0,0,1,1,1,0,0,1,1,0,0,1,0,1,1.55,433,1,0,0,1,0,0,"Senghor",54,66,0,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,0,0.871594488620758,9,0.000500700029078871,0,0,0,0,494.117,0.379,1381,1389,"SEN",433,26,5,1972,26,5,1972,0,0,0,-9,1,-9,17,4,1,5,5,3,1,1,1,0.536984126984127,0.333,0.667,0.333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1.55,1,0,0.0500700029078871
"1207",433,1974,"Senegal",0.367,0.283,0.174,0.311,0.266,1,2,0.083,0,1,0,0,0.445,0.643,0.513,0.577,0.652,0.45,NA,0,0.56,-1.7,-1.941,"Republic of Senegal under the Socialist Party (Senghor and Diouf presidencies) (21/08/1960 - 01/04/2000)",1,11,4,1.701,0.457,0.098,-0.489,0.459,0.889,-0.296,0.809,NA,96,NA,-0.798,0.283,0.333,0.667,0.333,0,0,0.288,0.804,0.653,0.744,0.51,0.621,0.776,1.197,0.859,1.861,1.551,0.641,0.241,0.764,1.161,-0.604,0.99,1.339,0.798,0.607,1,6,0.87,1749,7.467,391.018,496.81,0,0,0.382,4905.535,0,0,0,0.143,0.143,0,0.143,0.571,0,0,0.286,0,0,0,0,0,0.857,0.143,0,0,0,0,1,1,1,0,0,1,1,0,0,1,0,1,1.55,433,1,1,1,1,1,1,"Senghor",54,68,0,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,0,0.871594488620758,11,0.000498700013849884,0,0,0,0,887.828,0.347,1372,1384,"SEN",433,10,7,1974,24,7,1974,1,1,4,-9,0,0,16,4,1,5,8,3,0,1,1,0.536984126984127,0.333,0.667,0.333,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,1,1,0,0,1.55,1,0,0.0498700013849884
"1208",433,1989,"Senegal",0.536,0.401,0.27,0.443,0.39,2,5,0.167,0,1,0,0,0.391,0.573,0.807,0.643,0.647,0.785,NA,1,NA,NA,NA,"Republic of Senegal under the Socialist Party (Senghor and Diouf presidencies) (21/08/1960 - 01/04/2000)",1,11,11,0.364,0.64,0.759,-0.358,0.484,1.039,-0.068,0.941,NA,90.3,NA,-0.081,0.334,0.333,0.667,0.5,0,0,0.318,0.804,0.674,0.762,0.819,0.784,0.858,2.13,0.859,1.861,1.551,0.791,0.904,0.861,1.161,-0.604,1.095,1.339,1.474,1.088,2,3,1.872,1912,7.556,790.561,1322.488,0.06,0.06,0.358,7779.6,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,1,1,0,0,1,1,0,0,1,0,1,0.889,433,2,2,1,0,0,0,"Diouf",46,54,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,0.871594488620758,11,0.000646199972834438,0,14,0,1,2113.049,0.326,4180,3953,"SEN",433,15,11,1989,16,4,1990,1,1,2,-9,1,-9,17,4,1,5,5,3,1,1,1,0.545079365079365,0.333,0.667,0.5,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,1,1,1,0,0.889,1,0,0.0646199972834438
