itn,education,age,rural,pregnant,infant,malmessage,altitude,household
1,15,23,0,0,0,1,1.161,304
1,14,22,0,0,0,1,1.161,304
1,13,23,0,0,0,0,1.161,305
1,16,31,0,0,0,0,1.161,306
1,14,19,0,0,0,1,1.161,307
1,0,37,0,0,0,1,1.161,308
0,10,15,0,0,0,0,1.161,308
0,10,17,0,0,0,1,1.231,309
0,1,42,0,0,0,0,1.231,309
1,10,25,0,0,1,1,1.231,310
0,13,46,0,0,0,1,1.231,311
0,15,25,0,0,0,1,1.231,311
1,11,19,0,0,0,0,1.231,311
1,5,45,0,0,0,0,1.231,312
1,8,29,0,1,0,1,1.231,313
1,10,25,0,0,0,1,1.231,314
1,6,34,0,0,0,0,1.231,315
0,12,19,0,0,0,0,1.231,315
0,9,16,0,0,0,1,1.231,315
1,11,26,0,1,0,0,1.231,316
1,11,42,0,0,0,1,1.231,317
1,15,19,0,0,0,1,1.231,317
1,6,28,0,0,0,0,1.182,318
1,13,21,0,0,0,1,1.182,319
1,9,26,0,0,0,0,1.182,320
0,6,16,0,0,0,,1.182,321
1,9,20,0,1,1,0,1.182,322
1,9,30,0,0,0,0,1.182,323
1,7,24,0,0,0,0,1.182,323
1,16,37,0,0,0,1,1.182,324
0,8,15,0,0,0,1,1.182,324
1,9,25,0,0,0,0,1.182,325
0,8,21,0,0,0,0,1.182,326
1,9,23,0,0,1,1,1.182,327
1,10,20,0,0,0,1,1.182,328
1,9,18,0,0,0,1,1.182,329
1,11,25,0,0,0,0,1.198,330
1,13,20,0,0,0,0,1.198,330
1,4,48,0,0,0,0,1.198,331
1,11,20,0,0,0,1,1.198,332
1,16,34,0,0,0,0,1.198,333
1,15,26,0,0,0,1,1.198,333
1,9,23,0,0,0,0,1.198,333
1,11,28,0,0,0,1,1.198,334
1,16,49,0,0,0,1,1.198,335
1,14,20,0,0,0,1,1.198,335
1,13,18,0,0,0,1,1.198,335
1,5,32,0,0,0,0,1.198,335
0,11,29,0,0,0,1,1.198,336
1,8,39,0,0,0,0,1.198,337
1,13,27,0,0,0,1,1.198,338
0,16,28,0,0,0,1,1.198,339
1,15,26,0,0,0,1,1.198,339
0,16,24,0,0,0,1,1.198,339
0,13,22,0,0,0,1,1.198,339
1,6,37,0,0,0,1,1.159,340
1,8,22,0,0,0,0,1.159,341
1,9,21,0,0,1,0,1.159,342
0,7,35,0,0,0,1,1.159,343
0,7,17,0,0,0,0,1.159,343
1,7,27,0,0,0,1,1.159,344
1,5,26,0,0,0,1,1.159,345
1,11,24,0,1,0,1,1.159,346
0,3,32,0,0,0,0,1.159,347
1,14,20,0,0,0,1,1.159,348
1,14,19,0,0,0,1,1.159,348
1,3,23,0,0,0,0,1.159,349
1,9,35,0,0,1,0,1.159,350
1,8,43,0,0,0,1,1.159,350
1,4,40,0,0,0,1,1.173,351
0,10,17,0,0,0,0,1.173,351
1,11,25,0,0,0,1,1.173,352
1,15,35,0,0,0,1,1.173,353
1,6,23,0,0,0,0,1.173,353
0,6,46,0,0,0,0,1.173,354
1,15,23,0,0,0,1,1.173,355
1,11,17,0,0,0,1,1.173,355
1,13,18,0,0,0,1,1.173,356
1,0,38,0,0,0,1,1.173,356
1,10,18,0,0,0,0,1.173,357
1,11,19,0,0,0,0,1.173,358
1,7,22,0,0,0,0,1.173,359
1,11,20,0,0,0,1,1.173,360
1,6,27,0,0,0,1,1.173,361
0,16,37,0,0,0,1,1.173,362
0,6,17,0,0,0,0,1.173,362
1,15,35,0,1,0,1,1.173,363
1,11,27,0,0,0,1,1.173,363
1,6,25,0,0,0,0,1.173,363
1,7,24,0,0,1,1,1.173,364
1,0,37,0,0,0,1,1.173,365
0,13,20,0,0,0,0,1.173,365
0,2,21,0,0,1,1,1.163,366
1,12,18,0,0,0,1,1.163,367
1,9,24,0,0,1,1,1.163,368
1,16,33,0,0,0,1,1.163,369
1,6,29,0,0,0,0,1.163,369
1,6,40,0,0,0,0,1.163,370
1,16,24,0,0,0,1,1.163,370
1,9,46,0,0,0,1,1.163,371
1,15,23,0,0,0,1,1.163,372
1,0,27,0,1,0,1,1.163,373
1,11,20,0,0,0,1,1.163,374
1,17,25,0,0,0,1,1.163,375
1,7,23,0,0,0,0,1.163,376
1,11,23,0,1,0,0,1.163,377
0,9,18,0,0,0,0,1.163,377
1,16,26,0,1,0,1,1.204,378
0,15,32,0,0,0,1,1.204,379
1,11,29,0,0,0,1,1.204,379
0,4,21,0,0,0,0,1.204,380
1,8,16,0,0,0,0,1.204,380
0,7,16,0,0,0,0,1.2,381
1,7,25,0,0,0,0,1.2,382
1,8,18,0,0,0,0,1.2,383
1,7,26,0,0,1,0,1.2,384
0,10,35,0,0,0,0,1.2,385
1,15,21,0,0,0,0,1.2,386
1,14,48,0,0,0,1,1.181,387
1,13,23,0,0,0,0,1.181,387
1,6,35,0,0,0,1,1.181,388
1,5,30,0,0,0,0,1.181,388
0,9,23,0,0,0,0,1.181,388
0,9,29,0,0,0,0,1.181,388
0,10,32,0,0,0,1,1.181,388
1,8,43,0,0,0,1,1.181,389
1,11,37,0,0,0,1,1.181,390
1,8,18,0,0,0,1,1.181,390
1,3,20,0,0,0,1,1.181,391
1,11,18,0,0,0,1,1.181,392
1,8,29,0,0,0,1,1.181,393
1,17,33,0,0,0,1,1.181,394
0,9,17,0,0,0,0,1.246,395
1,11,17,0,0,0,1,1.246,395
1,0,26,0,0,0,0,1.246,396
1,11,26,0,0,0,1,1.246,397
1,7,47,0,0,0,1,1.162,398
1,8,24,0,0,0,1,1.162,399
1,8,32,0,0,0,1,1.162,400
1,11,28,0,0,0,1,1.162,401
1,11,16,0,0,0,1,1.162,402
1,15,23,0,0,0,1,1.162,403
1,8,22,0,0,0,0,1.162,404
0,8,22,0,0,1,1,1.162,405
1,4,21,0,0,0,1,1.162,406
1,7,40,0,0,0,1,1.162,407
1,10,15,0,0,0,1,1.162,407
1,11,30,0,0,0,1,1.202,408
1,5,26,0,0,0,1,1.202,409
1,8,34,0,0,0,1,1.202,410
1,11,32,0,0,0,1,1.202,411
1,6,20,0,0,1,1,1.202,412
1,7,40,0,0,0,1,1.24,413
0,11,17,0,0,0,1,1.24,413
1,11,24,0,0,0,1,1.24,414
1,6,28,0,0,0,0,1.24,415
0,13,20,0,0,0,1,1.24,416
1,17,31,0,0,0,1,1.24,416
1,6,23,0,0,1,0,1.24,417
1,16,48,0,0,0,1,1.24,418
